GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH)
0600120840,0,Voting District 20840,Alameda,468,48,9,18,378,1,14
0600120830,0,Voting District 20830,Alameda,5600,752,277,388,3752,14,417
0600120640,0,Voting District 20640,Alameda,0,0,0,0,0,0,0
0600110075,0,Voting District 10075,Alameda,949,221,3,35,651,0,39
0600110450,0,Voting District 10450,Alameda,134,96,0,34,2,1,1
0600110465,0,Voting District 10465,Alameda,0,0,0,0,0,0,0
0600120790,0,Voting District 20790,Alameda,140,112,0,9,5,2,12
0600110355,0,Voting District 10355,Alameda,99,79,0,6,14,0,0
0600110460,0,Voting District 10460,Alameda,2,2,0,0,0,0,0
0600110445,0,Voting District 10445,Alameda,9533,4391,246,1157,3306,22,411
060011225,0,Voting District 1225,Alameda,21,18,0,3,0,0,0
0600141340,0,Voting District 41340,Alameda,1167,396,118,461,147,6,39
0600141245,0,Voting District 41245,Alameda,0,0,0,0,0,0,0
0600141335,0,Voting District 41335,Alameda,466,169,67,118,75,2,35
0600141430,0,Voting District 41430,Alameda,4385,1518,876,1063,733,13,182
0600141440,0,Voting District 41440,Alameda,49,25,4,2,13,1,4
0600141310,0,Voting District 41310,Alameda,15101,9036,465,2052,2813,41,694
0600141395,0,Voting District 41395,Alameda,3225,1302,445,895,411,8,164
0600141315,0,Voting District 41315,Alameda,7037,3796,309,1341,1290,28,273
0600131140,0,Voting District 31140,Alameda,3206,874,505,680,1020,4,123
0600131110,0,Voting District 31110,Alameda,2044,344,445,479,692,6,78
0600110335,0,Voting District 10335,Alameda,32,18,0,1,13,0,0
0600110305,0,Voting District 10305,Alameda,0,0,0,0,0,0,0
0600110180,0,Voting District 10180,Alameda,0,0,0,0,0,0,0
0600110340,0,Voting District 10340,Alameda,0,0,0,0,0,0,0
0600110170,0,Voting District 10170,Alameda,0,0,0,0,0,0,0
0600110010,0,Voting District 10010,Alameda,20,6,0,3,11,0,0
0600110000,0,Voting District 10000,Alameda,9950,3396,505,810,4677,12,550
0600110015,0,Voting District 10015,Alameda,69,29,1,9,23,0,7
0600110190,0,Voting District 10190,Alameda,0,0,0,0,0,0,0
0600110005,0,Voting District 10005,Alameda,291,61,22,32,166,0,10
0600110300,0,Voting District 10300,Alameda,0,0,0,0,0,0,0
0600131120,0,Voting District 31120,Alameda,118,21,30,31,31,0,5
0600131105,0,Voting District 31105,Alameda,6302,1241,953,1991,1923,8,186
0600131095,0,Voting District 31095,Alameda,4258,1095,664,1538,813,7,141
0600130905,0,Voting District 30905,Alameda,7260,1214,1113,2579,2101,39,214
0600131115,0,Voting District 31115,Alameda,758,212,108,179,224,4,31
0600130885,0,Voting District 30885,Alameda,633,264,62,152,119,1,35
0600110055,0,Voting District 10055,Alameda,84347,24476,3142,17550,34951,239,3989
0600110360,0,Voting District 10360,Alameda,620,365,7,31,180,1,36
0600110290,0,Voting District 10290,Alameda,4,2,0,0,1,0,1
0600110240,0,Voting District 10240,Alameda,0,0,0,0,0,0,0
0600110345,0,Voting District 10345,Alameda,29,25,0,1,2,0,1
0600110230,0,Voting District 10230,Alameda,0,0,0,0,0,0,0
0600110225,0,Voting District 10225,Alameda,97,73,12,9,3,0,0
0600120795,0,Voting District 20795,Alameda,0,0,0,0,0,0,0
0600110385,0,Voting District 10385,Alameda,146,76,1,18,48,0,3
0600110285,0,Voting District 10285,Alameda,574,471,3,26,67,3,4
0600110380,0,Voting District 10380,Alameda,0,0,0,0,0,0,0
0600120780,0,Voting District 20780,Alameda,0,0,0,0,0,0,0
