GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH)
100010414002,2,Block Group 2_ Tract 414,Kent,1309,134,1049,89,3,0,34,922,118,738,49,3,0,14
100010415002,2,Block Group 2_ Tract 415,Kent,1249,593,474,84,45,8,45,958,490,343,60,44,6,15
100010417011,2,Block Group 1_ Tract 41701,Kent,1813,1335,239,118,57,7,57,1384,1045,178,79,45,7,30
100010417012,2,Block Group 2_ Tract 41701,Kent,3985,2492,954,195,147,21,176,3100,2065,701,124,112,14,84
100010422011,2,Block Group 1_ Tract 42201,Kent,4261,2666,1027,257,104,14,193,2992,1987,694,146,80,10,75
100010422023,2,Block Group 3_ Tract 42202,Kent,2312,1836,277,97,27,13,62,1783,1439,213,66,26,7,32
100010402021,1,Block Group 1_ Tract 40202,Kent,4662,2992,1233,229,89,6,113,3394,2294,837,134,65,6,58
100010402022,1,Block Group 2_ Tract 40202,Kent,8101,5426,1865,364,202,40,204,5913,4131,1301,206,154,29,92
100010402031,1,Block Group 1_ Tract 40203,Kent,3550,1794,1383,198,32,7,136,2445,1387,861,124,21,6,46
100010405021,2,Block Group 1_ Tract 40502,Kent,713,555,84,35,13,10,16,568,450,67,22,11,10,8
100010432021,2,Block Group 1_ Tract 43202,Kent,1155,949,64,91,19,5,27,906,773,39,59,14,5,16
100010411002,2,Block Group 2_ Tract 411,Kent,1073,802,97,96,18,3,57,763,587,70,58,16,3,29
100010405012,2,Block Group 2_ Tract 40501,Kent,2574,699,1464,191,106,7,107,1899,595,1053,124,82,7,38
100010411001,2,Block Group 1_ Tract 411,Kent,2667,1695,331,422,65,1,153,1608,1067,211,226,50,1,53
100010412002,2,Block Group 2_ Tract 412,Kent,2397,919,956,237,168,11,106,1759,738,683,160,115,11,52
100010433003,2,Block Group 3_ Tract 433,Kent,1730,705,802,164,10,14,35,1334,617,583,98,9,10,17
100010407003,2,Block Group 3_ Tract 407,Kent,1649,900,493,82,71,20,83,1316,765,372,61,65,15,38
100010433002,2,Block Group 2_ Tract 433,Kent,1820,791,900,65,24,8,32,1597,719,780,51,18,7,22
100010407002,2,Block Group 2_ Tract 407,Kent,1449,486,837,72,10,5,39,979,411,502,34,9,5,18
100010412001,2,Block Group 1_ Tract 412,Kent,1809,1091,483,106,56,5,68,1327,856,338,60,42,5,26
100010405022,2,Block Group 2_ Tract 40502,Kent,1268,744,401,73,9,8,33,1021,674,270,48,8,7,14
100010405011,2,Block Group 1_ Tract 40501,Kent,2349,1478,496,222,37,38,78,1801,1209,370,128,33,35,26
100010409001,2,Block Group 1_ Tract 409,Kent,2561,1694,608,120,57,13,69,2275,1541,526,99,51,8,50
100010420001,2,Block Group 1_ Tract 42,Kent,1338,1213,51,26,12,4,32,1031,945,36,14,12,4,20
100010420002,2,Block Group 2_ Tract 42,Kent,1835,1633,125,29,5,4,39,1400,1264,95,17,5,4,15
100010421001,2,Block Group 1_ Tract 421,Kent,1618,1325,191,52,9,8,33,1273,1054,146,36,9,8,20
100010421002,2,Block Group 2_ Tract 421,Kent,2241,1756,289,67,75,8,46,1693,1362,210,42,54,5,20
100010422022,2,Block Group 2_ Tract 42202,Kent,4056,2801,765,279,67,9,135,2957,2138,555,158,47,9,50
100010432023,2,Block Group 3_ Tract 43202,Kent,976,831,63,57,7,3,15,799,699,48,35,3,3,11
100010422021,2,Block Group 1_ Tract 42202,Kent,2489,1783,458,112,53,15,68,1809,1324,326,65,43,14,37
100010422012,2,Block Group 2_ Tract 42201,Kent,3043,2082,600,181,80,5,95,2165,1531,430,99,60,3,42
100010422013,2,Block Group 3_ Tract 42201,Kent,2462,1414,751,158,20,9,110,1668,1044,476,83,18,5,42
100010418013,2,Block Group 3_ Tract 41801,Kent,3014,1785,834,110,150,14,121,2337,1449,626,86,112,10,54
100010418011,1,Block Group 1_ Tract 41801,Kent,3692,2120,942,196,68,168,198,2666,1617,658,108,42,151,90
100019900000,2,Block Group 0_ Tract 99,Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010433001,2,Block Group 1_ Tract 433,Kent,2581,601,1718,121,33,17,91,2409,533,1647,108,29,14,78
100010413001,2,Block Group 1_ Tract 413,Kent,2068,911,898,145,28,15,71,1515,792,567,86,28,12,30
100010414001,2,Block Group 1_ Tract 414,Kent,2339,1195,786,187,80,9,82,1908,1010,644,141,66,8,39
100010415001,2,Block Group 1_ Tract 415,Kent,2626,1461,831,141,78,2,113,2009,1218,591,77,67,2,54
100010416001,2,Block Group 1_ Tract 416,Kent,2089,1607,269,110,40,15,48,1682,1339,198,74,35,12,24
100010418012,2,Block Group 2_ Tract 41801,Kent,2927,2247,415,107,55,38,65,2177,1698,312,69,50,29,19
100010417021,2,Block Group 1_ Tract 41702,Kent,2378,1607,415,114,148,13,81,1798,1253,318,71,105,9,42
100010417022,2,Block Group 2_ Tract 41702,Kent,1838,992,634,110,48,6,48,1368,773,460,71,38,3,23
100010419001,2,Block Group 1_ Tract 419,Kent,2891,2563,161,80,18,21,48,2159,1939,124,42,15,21,18
100010419002,2,Block Group 2_ Tract 419,Kent,2385,2117,108,97,7,13,43,1808,1628,77,66,6,9,22
100010407001,2,Block Group 1_ Tract 407,Kent,1726,1246,293,49,89,9,40,1402,1042,231,27,72,7,23
100010410002,2,Block Group 2_ Tract 41,Kent,3500,1696,1094,487,94,13,116,2640,1402,778,326,73,10,51
100010428001,2,Block Group 1_ Tract 428,Kent,2012,1814,80,30,10,9,69,1536,1420,47,19,9,7,34
100010428002,2,Block Group 2_ Tract 428,Kent,2779,2014,484,138,34,14,95,2118,1595,353,85,27,10,48
100010428003,2,Block Group 3_ Tract 428,Kent,2294,1768,320,102,24,12,68,1767,1410,243,51,16,10,37
100010429002,2,Block Group 2_ Tract 429,Kent,2560,2075,313,92,20,13,47,1967,1628,228,61,16,8,26
100010429001,2,Block Group 1_ Tract 429,Kent,2234,1734,339,75,30,5,51,1733,1370,257,49,28,4,25
100010430003,2,Block Group 3_ Tract 43,Kent,1535,1220,192,64,24,4,31,1174,961,137,41,20,4,11
100010430001,2,Block Group 1_ Tract 43,Kent,1737,1112,450,90,11,5,69,1239,849,296,53,10,2,29
100010430002,2,Block Group 2_ Tract 43,Kent,1954,1467,333,74,17,9,54,1436,1149,205,44,15,3,20
100010431001,2,Block Group 1_ Tract 431,Kent,983,914,33,22,1,0,13,761,714,26,12,1,0,8
100010431002,2,Block Group 2_ Tract 431,Kent,1647,1502,88,24,11,6,16,1240,1153,61,10,7,3,6
100010401001,1,Block Group 1_ Tract 401,Kent,2637,2247,238,89,16,17,30,1945,1676,180,51,12,13,13
100010401002,1,Block Group 2_ Tract 401,Kent,2174,1844,158,116,14,12,30,1675,1440,130,74,7,11,13
100010401003,1,Block Group 3_ Tract 401,Kent,1730,1478,128,42,9,44,29,1306,1114,109,26,8,35,14
100010432022,2,Block Group 2_ Tract 43202,Kent,659,565,38,29,1,8,18,539,470,29,21,1,7,11
100010432024,2,Block Group 4_ Tract 43202,Kent,1000,846,74,56,1,0,23,768,670,56,31,1,0,10
100010425001,2,Block Group 1_ Tract 425,Kent,1467,844,264,285,17,7,50,1079,676,189,172,16,7,19
100010434002,2,Block Group 2_ Tract 434,Kent,2772,2124,378,168,33,14,55,2167,1758,255,101,26,11,16
100010434001,2,Block Group 1_ Tract 434,Kent,1374,937,251,111,13,5,57,1025,728,199,66,9,5,18
100010425002,2,Block Group 2_ Tract 425,Kent,1988,553,1023,328,23,6,55,1403,457,705,198,18,5,20
100010418021,2,Block Group 1_ Tract 41802,Kent,3478,2039,966,164,126,14,169,2456,1533,651,87,99,14,72
100010402032,1,Block Group 2_ Tract 40203,Kent,1467,1201,122,63,45,8,28,1125,933,97,40,35,8,12
100010402011,1,Block Group 1_ Tract 40201,Kent,2666,2114,320,132,20,7,73,1900,1545,230,75,18,4,28
100010418022,2,Block Group 2_ Tract 41802,Kent,1725,1327,190,45,129,0,34,1316,1036,142,34,86,0,18
100010402012,1,Block Group 2_ Tract 40201,Kent,2375,1408,690,180,10,8,79,1708,1071,483,113,9,5,27
100010410001,2,Block Group 1_ Tract 41,Kent,2495,982,1132,205,68,7,101,1831,838,759,135,54,7,38
100050507011,2,Block Group 1_ Tract 50701,Sussex,2326,1698,392,81,12,87,56,1941,1448,323,53,8,71,38
100050508031,2,Block Group 1_ Tract 50803,Sussex,1255,1098,114,16,7,10,10,1077,959,92,12,4,4,6
100050508032,2,Block Group 2_ Tract 50803,Sussex,1737,1602,36,26,41,5,27,1441,1347,30,18,33,4,9
100050508033,2,Block Group 3_ Tract 50803,Sussex,1372,1147,70,99,5,8,43,1193,1038,60,62,4,7,22
100050508022,2,Block Group 2_ Tract 50802,Sussex,2778,2058,478,165,22,24,31,2163,1657,351,104,17,23,11
100050504012,2,Block Group 2_ Tract 50401,Sussex,1565,1433,59,34,11,3,25,1246,1164,44,23,5,3,7
100050507012,2,Block Group 2_ Tract 50701,Sussex,1258,622,348,170,0,69,49,1010,548,259,114,0,63,26
100050504011,2,Block Group 1_ Tract 50401,Sussex,2229,1561,513,79,14,8,54,1609,1227,308,38,12,7,17
100050504062,2,Block Group 2_ Tract 50406,Sussex,1564,696,648,127,42,1,50,1090,576,389,75,31,1,18
100050504071,2,Block Group 1_ Tract 50407,Sussex,1402,1026,269,57,35,1,14,1133,861,210,31,26,0,5
100050504052,2,Block Group 2_ Tract 50405,Sussex,1876,1405,334,76,36,6,19,1469,1147,229,46,27,6,14
100050513011,2,Block Group 1_ Tract 51301,Sussex,1552,1490,15,20,3,2,22,1276,1232,11,18,2,2,11
100050513022,2,Block Group 2_ Tract 51302,Sussex,1309,1168,32,81,15,3,10,1087,984,29,50,13,3,8
100030107021,1,Block Group 1_ Tract 10702,New Castle,1110,597,393,68,13,3,36,809,525,218,38,13,3,12
100030107024,1,Block Group 4_ Tract 10702,New Castle,648,522,83,20,10,0,13,529,439,65,12,7,0,6
100030112011,1,Block Group 1_ Tract 11201,New Castle,1015,859,50,21,70,0,15,792,663,41,17,63,0,8
100030115002,1,Block Group 2_ Tract 115,New Castle,792,669,28,38,46,2,9,654,548,24,30,43,2,7
100030115001,1,Block Group 1_ Tract 115,New Castle,998,860,35,23,54,4,22,793,699,28,15,44,1,6
100030115003,1,Block Group 3_ Tract 115,New Castle,1026,919,28,14,47,2,16,809,734,20,10,35,2,8
