GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH)
300290001002,0,Block Group 2_ Tract 1,Flathead,142,127,2,13,0,0,0
300530005001,0,Block Group 1_ Tract 5,Lincoln,1037,1008,0,0,0,14,15
300290001001,0,Block Group 1_ Tract 1,Flathead,138,118,0,0,0,0,20
300050002001,1,Block Group 1 (part)_ Tract 2,Blaine,1211,1156,0,7,0,27,21
300410402001,0,Block Group 1_ Tract 402,Hill,585,576,0,0,9,0,0
300530004001,0,Block Group 1 (part)_ Tract 4,Lincoln,1608,1572,2,12,4,11,7
300530004003,0,Block Group 3 (part)_ Tract 4,Lincoln,2394,2253,0,38,27,42,34
300710601001,1,Block Group 1 (part)_ Tract 601,Phillips,1280,1157,0,10,5,85,23
301051001001,0,Block Group 1 (part)_ Tract 1001,Valley,977,950,0,0,4,12,11
300910901001,0,Block Group 1 (part)_ Tract 901,Sheridan,487,485,0,0,0,2,0
300050001001,1,Block Group 1 (part)_ Tract 1,Blaine,581,560,0,0,0,13,8
300190201001,0,Block Group 1 (part)_ Tract 201,Daniels,767,745,0,13,0,9,0
300910902002,0,Block Group 2 (part)_ Tract 902,Sheridan,1018,982,0,9,7,14,6
300910902003,0,Block Group 3 (part)_ Tract 902,Sheridan,521,509,0,0,0,6,6
300410401001,0,Block Group 1 (part)_ Tract 401,Hill,655,649,0,3,0,0,3
301010001001,0,Block Group 1 (part)_ Tract 1,Toole,767,730,0,5,0,0,32
300359763001,0,Block Group 1_ Tract 9763,Glacier,27,27,0,0,0,0,0
300359401002,0,Block Group 2_ Tract 9401,Glacier,994,502,0,0,0,482,10
300359760001,0,Block Group 1_ Tract 976,Glacier,677,578,5,5,0,78,11
300359401001,0,Block Group 1_ Tract 9401,Glacier,539,88,0,17,0,413,21
301010001002,0,Block Group 2 (part)_ Tract 1,Toole,626,603,0,4,0,13,6
300510501001,0,Block Group 1 (part)_ Tract 501,Liberty,637,632,1,0,4,0,0
300410401002,0,Block Group 2 (part)_ Tract 401,Hill,878,844,2,4,3,8,17
300530004002,0,Block Group 2 (part)_ Tract 4,Lincoln,1381,1316,2,34,8,18,3
300530003001,0,Block Group 1 (part)_ Tract 3,Lincoln,2072,2010,0,40,0,0,22
300190201002,0,Block Group 2 (part)_ Tract 201,Daniels,528,517,0,5,0,6,0
300910902001,0,Block Group 1 (part)_ Tract 902,Sheridan,1329,1204,0,61,0,28,36
300190201003,0,Block Group 3 (part)_ Tract 201,Daniels,645,602,0,21,5,4,13
300359401003,0,Block Group 3 (part)_ Tract 9401,Glacier,766,67,0,18,4,652,25
301010002006,0,Block Group 6 (part)_ Tract 2,Toole,647,638,0,0,1,2,6
300290001006,0,Block Group 6_ Tract 1,Flathead,486,467,0,2,0,0,17
300359401005,0,Block Group 5_ Tract 9401,Glacier,859,143,0,0,5,693,18
301051002001,0,Block Group 1 (part)_ Tract 1002,Valley,748,703,5,2,0,5,33
300359760002,0,Block Group 2 (part)_ Tract 976,Glacier,719,604,0,6,0,69,40
300359760004,0,Block Group 4 (part)_ Tract 976,Glacier,1016,758,0,0,11,135,112
300359760003,0,Block Group 3 (part)_ Tract 976,Glacier,479,437,0,0,0,19,23
301059405001,0,Block Group 1_ Tract 9405,Valley,217,200,0,0,0,0,17
300919401001,0,Block Group 1 (part)_ Tract 9401,Sheridan,96,94,0,2,0,0,0
300919402001,0,Block Group 1_ Tract 9402,Sheridan,6,6,0,0,0,0,0
300359760005,0,Block Group 5 (part)_ Tract 976,Glacier,1105,1033,0,0,0,55,17
300199402001,0,Block Group 1_ Tract 9402,Daniels,38,38,0,0,0,0,0
300199405001,0,Block Group 1_ Tract 9405,Daniels,9,9,0,0,0,0,0
300199403001,0,Block Group 1_ Tract 9403,Daniels,30,30,0,0,0,0,0
300910901002,0,Block Group 2 (part)_ Tract 901,Sheridan,648,599,2,0,14,19,14
300410402002,0,Block Group 2 (part)_ Tract 402,Hill,1325,1233,0,0,0,19,73
300290003001,0,Block Group 1 (part)_ Tract 3,Flathead,590,557,0,0,0,33,0
300050002002,0,Block Group 2 (part)_ Tract 2,Blaine,596,539,5,5,7,27,13
300410403001,0,Block Group 1 (part)_ Tract 403,Hill,562,511,0,0,0,40,11
300050002003,0,Block Group 3 (part)_ Tract 2,Blaine,926,837,2,0,4,67,16
300359402001,0,Block Group 1 (part)_ Tract 9402,Glacier,2151,116,0,21,0,1962,52
300410403002,0,Block Group 2 (part)_ Tract 403,Hill,456,407,3,0,0,16,30
300410403004,0,Block Group 4 (part)_ Tract 403,Hill,462,342,0,23,7,67,23
300510501003,2,Block Group 3 (part)_ Tract 501,Liberty,615,613,0,0,0,0,2
300359402002,0,Block Group 2 (part)_ Tract 9402,Glacier,613,52,0,36,2,513,10
300859403001,0,Block Group 1_ Tract 9403,Roosevelt,776,493,0,11,7,259,6
300859402001,0,Block Group 1 (part)_ Tract 9402,Roosevelt,829,400,0,0,26,377,26
300859401001,0,Block Group 1 (part)_ Tract 9401,Roosevelt,742,106,0,4,8,582,42
300359402004,0,Block Group 4 (part)_ Tract 9402,Glacier,1660,35,4,8,0,1476,137
300359402003,0,Block Group 3 (part)_ Tract 9402,Glacier,626,41,0,11,0,551,23
300410403003,0,Block Group 3 (part)_ Tract 403,Hill,1368,1037,0,31,7,234,59
300410404001,0,Block Group 1 (part)_ Tract 404,Hill,1779,1509,0,5,0,229,36
300410403005,0,Block Group 5 (part)_ Tract 403,Hill,797,772,0,0,0,16,9
300410403006,0,Block Group 6_ Tract 403,Hill,600,394,0,0,0,191,15
300410404004,0,Block Group 4_ Tract 404,Hill,689,614,0,36,0,0,39
300410405001,0,Block Group 1_ Tract 405,Hill,541,541,0,0,0,0,0
300050001002,0,Block Group 2 (part)_ Tract 1,Blaine,894,480,0,46,3,321,44
300410404003,0,Block Group 3 (part)_ Tract 404,Hill,1104,997,0,25,0,79,3
300410405002,0,Block Group 2_ Tract 405,Hill,703,564,0,0,0,53,86
300410405003,0,Block Group 3 (part)_ Tract 405,Hill,1170,1087,0,25,0,34,24
300059401001,1,Block Group 1 (part)_ Tract 9401,Blaine,1448,66,0,31,0,1336,15
300510501002,0,Block Group 2 (part)_ Tract 501,Liberty,906,895,0,2,4,0,5
300410404002,0,Block Group 2 (part)_ Tract 404,Hill,1046,990,0,0,10,20,26
301010002001,0,Block Group 1 (part)_ Tract 2,Toole,811,790,0,0,4,0,17
301010002005,0,Block Group 5 (part)_ Tract 2,Toole,601,535,0,0,0,50,16
