GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH)
340373710001,5,"Block Group 1_ Census Tract 3710_ Sussex County_ New Jersey",Sussex,954,936,14,4,0,0,0
340373710002,5,"Block Group 2_ Census Tract 3710_ Sussex County_ New Jersey",Sussex,713,689,7,0,14,0,3
340373711001,5,"Block Group 1_ Census Tract 3711_ Sussex County_ New Jersey",Sussex,1076,1015,43,11,0,0,7
340373710003,5,"Block Group 3_ Census Tract 3710_ Sussex County_ New Jersey",Sussex,1745,1553,59,79,26,5,23
340373718001,5,"Block Group 1_ Census Tract 3718_ Sussex County_ New Jersey",Sussex,1501,1422,0,54,0,0,25
340373711002,5,"Block Group 2_ Census Tract 3711_ Sussex County_ New Jersey",Sussex,788,777,5,6,0,0,0
340373711003,5,"Block Group 3_ Census Tract 3711_ Sussex County_ New Jersey",Sussex,593,549,0,41,0,0,3
340373713001,5,"Block Group 1_ Census Tract 3713_ Sussex County_ New Jersey",Sussex,662,633,19,0,10,0,0
340373719001,5,"Block Group 1_ Census Tract 3719_ Sussex County_ New Jersey",Sussex,1829,1796,0,16,0,6,11
340373713002,5,"Block Group 2_ Census Tract 3713_ Sussex County_ New Jersey",Sussex,2058,1988,14,42,14,0,0
340373711004,5,"Block Group 4_ Census Tract 3711_ Sussex County_ New Jersey",Sussex,1283,1204,22,27,0,0,30
340373718005,5,"Block Group 5_ Census Tract 3718_ Sussex County_ New Jersey",Sussex,792,792,0,0,0,0,0
340373714002,5,"Block Group 2_ Census Tract 3714_ Sussex County_ New Jersey",Sussex,1735,1664,0,9,0,8,54
340373714001,5,"Block Group 1_ Census Tract 3714_ Sussex County_ New Jersey",Sussex,1666,1567,0,99,0,0,0
340373713003,5,"Block Group 3_ Census Tract 3713_ Sussex County_ New Jersey",Sussex,1115,1024,39,35,0,0,17
340373718002,5,"Block Group 2_ Census Tract 3718_ Sussex County_ New Jersey",Sussex,2229,2149,0,51,29,0,0
340373715001,5,"Block Group 1_ Census Tract 3715_ Sussex County_ New Jersey",Sussex,2002,1868,9,78,18,0,29
340373717001,5,"Block Group 1_ Census Tract 3717_ Sussex County_ New Jersey",Sussex,2038,2015,0,0,0,0,23
340373723001,5,"Block Group 1_ Census Tract 3723_ Sussex County_ New Jersey",Sussex,1435,1377,20,15,0,0,23
340373718004,5,"Block Group 4_ Census Tract 3718_ Sussex County_ New Jersey",Sussex,1356,1279,7,60,0,0,10
340373712001,5,"Block Group 1_ Census Tract 3712_ Sussex County_ New Jersey",Sussex,678,657,3,0,0,0,18
340373712002,5,"Block Group 2_ Census Tract 3712_ Sussex County_ New Jersey",Sussex,1467,1356,36,71,0,0,4
340373715003,5,"Block Group 3_ Census Tract 3715_ Sussex County_ New Jersey",Sussex,1446,1400,0,46,0,0,0
340373716002,5,"Block Group 2_ Census Tract 3716_ Sussex County_ New Jersey",Sussex,3095,2853,26,145,16,7,48
340373718003,5,"Block Group 3_ Census Tract 3718_ Sussex County_ New Jersey",Sussex,769,728,0,41,0,0,0
340312568012,5,"Block Group 2_ Census Tract 2568.01_ Passaic County_ New Jersey",Passaic,975,771,14,123,37,0,30
340312568011,5,"Block Group 1_ Census Tract 2568.01_ Passaic County_ New Jersey",Passaic,1549,1395,30,18,23,9,74
340373719002,5,"Block Group 2_ Census Tract 3719_ Sussex County_ New Jersey",Sussex,37,37,0,0,0,0,0
340373717002,5,"Block Group 2_ Census Tract 3717_ Sussex County_ New Jersey",Sussex,3497,3191,0,185,49,21,51
340312568021,5,"Block Group 1_ Census Tract 2568.02_ Passaic County_ New Jersey",Passaic,1102,928,1,91,0,59,23
340373715002,5,"Block Group 2_ Census Tract 3715_ Sussex County_ New Jersey",Sussex,1389,1267,21,75,8,0,18
340373726001,5,"Block Group 1_ Census Tract 3726_ Sussex County_ New Jersey",Sussex,862,828,0,11,6,0,17
340373715004,5,"Block Group 4_ Census Tract 3715_ Sussex County_ New Jersey",Sussex,1656,1542,8,22,34,9,41
340373716001,5,"Block Group 1_ Census Tract 3716_ Sussex County_ New Jersey",Sussex,242,230,0,12,0,0,0
340373723002,5,"Block Group 2_ Census Tract 3723_ Sussex County_ New Jersey",Sussex,1284,1284,0,0,0,0,0
340312568022,5,"Block Group 2_ Census Tract 2568.02_ Passaic County_ New Jersey",Passaic,989,989,0,0,0,0,0
340312568013,5,"Block Group 3_ Census Tract 2568.01_ Passaic County_ New Jersey",Passaic,1304,1230,0,57,0,0,17
340373715005,5,"Block Group 5_ Census Tract 3715_ Sussex County_ New Jersey",Sussex,2085,1980,0,105,0,0,0
340373722001,5,"Block Group 1_ Census Tract 3722_ Sussex County_ New Jersey",Sussex,1106,1037,5,32,32,0,0
340312568014,5,"Block Group 4_ Census Tract 2568.01_ Passaic County_ New Jersey",Passaic,1541,1472,0,47,16,6,0
340373722002,5,"Block Group 2_ Census Tract 3722_ Sussex County_ New Jersey",Sussex,1027,1015,7,0,0,0,5
340373725001,5,"Block Group 1_ Census Tract 3725_ Sussex County_ New Jersey",Sussex,2263,2058,42,64,64,0,35
340312167004,5,"Block Group 4_ Census Tract 2167_ Passaic County_ New Jersey",Passaic,3747,3219,41,137,30,232,88
340373724001,5,"Block Group 1_ Census Tract 3724_ Sussex County_ New Jersey",Sussex,2299,2178,23,61,25,0,12
340373727001,5,"Block Group 1_ Census Tract 3727_ Sussex County_ New Jersey",Sussex,716,648,0,53,4,0,11
340373727003,5,"Block Group 3_ Census Tract 3727_ Sussex County_ New Jersey",Sussex,1267,1186,7,44,28,2,0
340373726002,5,"Block Group 2_ Census Tract 3726_ Sussex County_ New Jersey",Sussex,1271,1214,0,36,0,21,0
340312568023,5,"Block Group 3_ Census Tract 2568.02_ Passaic County_ New Jersey",Passaic,1067,988,0,29,19,0,31
340373723003,5,"Block Group 3_ Census Tract 3723_ Sussex County_ New Jersey",Sussex,847,831,0,4,0,9,3
340373723001A,5,,Sussex,0,0,0,0,0,0,0
340373723004,5,"Block Group 4_ Census Tract 3723_ Sussex County_ New Jersey",Sussex,567,534,0,33,0,0,0
