GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote

350036,2,Catron County Precinct 6,Catron,218,180,0,27,0,0,11,127,27,98
350033,2,Catron County Precinct 3,Catron,449,387,1,50,1,0,10,334,134,192
350034,2,Catron County Precinct 4,Catron,438,297,0,132,1,0,8,240,75,162
350032,2,Catron County Precinct 2,Catron,843,627,8,136,1,55,16,369,89,269
350031,2,Catron County Precinct 1,Catron,789,519,1,246,0,9,14,440,156,271
350035,2,Catron County Precinct 5,Catron,988,822,5,118,2,23,18,548,159,379
3500510,2,Chaves County Precinct 10,Chaves,1106,855,1,229,10,2,9,538,89,439
350051,2,Chaves County Precinct 1,Chaves,1029,743,7,255,2,3,19,446,99,343
3500541,2,Chaves County Precinct 41,Chaves,2191,1328,20,796,3,15,29,759,200,552
350055,2,Chaves County Precinct 5,Chaves,1924,1305,13,534,40,7,25,1027,240,782
350057,2,Chaves County Precinct 7,Chaves,1051,729,7,289,11,4,11,615,159,455
350052,2,Chaves County Precinct 2,Chaves,891,580,7,276,8,8,12,425,128,290
3500536,2,Chaves County Precinct 36,Chaves,1462,786,15,637,2,7,15,518,155,351
350059,2,Chaves County Precinct 9,Chaves,1460,1024,12,355,26,15,28,700,180,515
3500521,2,Chaves County Precinct 21,Chaves,1499,1055,7,411,13,3,10,836,217,613
3500512,2,Chaves County Precinct 12,Chaves,668,532,3,120,2,4,7,338,67,265
35005101,2,Chaves County Precinct 101,Chaves,3094,1050,22,1929,7,69,17,806,257,540
3500592,2,Chaves County Precinct 92,Chaves,1021,494,18,498,1,5,5,305,144,158
3500572,2,Chaves County Precinct 72,Chaves,2242,623,19,1572,6,7,15,424,181,240
3500573,2,Chaves County Precinct 73,Chaves,866,420,0,434,1,6,5,339,134,202
35005102,2,Chaves County Precinct 102,Chaves,2216,784,6,1390,8,12,16,626,237,381
35005104,2,Chaves County Precinct 104,Chaves,194,145,1,41,1,5,1,82,2,80
