GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote,Avg Dem Vote,Avg Rep Vote
410030101005,5,Block Group 5_ Tract 101,Benton,1693,1550,2,48,47,2,44,1287,1192,2,32,41,2,18,1046,489,541,0,0
410030101003,5,Block Group 3_ Tract 101,Benton,2429,2169,23,114,53,18,52,1803,1655,12,62,39,14,21,1464,683,759,0,0
410030001002,4,Block Group 2_ Tract 1,Benton,1333,969,8,299,16,4,37,1062,821,8,181,16,4,32,651,455,178,0,0
410030104002,4,Block Group 2_ Tract 104,Benton,822,752,3,33,7,2,25,642,596,2,20,6,2,16,440,208,219,0,0
410030101001,5,Block Group 1_ Tract 101,Benton,866,819,3,27,6,3,8,684,655,1,15,4,3,6,545,254,285,0,0
410030103003,4,Block Group 3_ Tract 103,Benton,915,835,3,27,8,8,34,750,698,2,17,7,7,19,540,253,262,0,0
410030108003,4,Block Group 3_ Tract 108,Benton,1682,1474,10,120,12,19,47,1260,1117,7,82,11,15,28,768,415,333,0,0
410030104001,4,Block Group 1_ Tract 104,Benton,623,577,1,38,1,1,5,500,466,1,28,1,1,3,439,250,182,0,0
410030103002,4,Block Group 2_ Tract 103,Benton,980,912,0,27,6,10,25,801,752,0,15,6,10,18,605,309,275,0,0
410030103001,4,Block Group 1_ Tract 103,Benton,1308,1215,1,28,10,16,38,1061,1001,0,16,6,10,28,876,485,371,0,0
410030009004,4,Block Group 4_ Tract 9,Benton,1049,915,2,26,86,1,19,824,732,2,19,60,1,10,680,480,187,0,0
410499701002,2,Block Group 2_ Tract 9701,Morrow,1495,1077,13,363,8,20,14,1074,831,6,207,8,17,5,500,197,287,0,0
410499701001,2,Block Group 1_ Tract 9701,Morrow,2343,1606,11,632,10,37,47,1662,1254,6,344,9,21,28,776,306,445,0,0
410499701003,2,Block Group 3_ Tract 9701,Morrow,822,410,1,380,16,5,10,568,323,1,220,12,5,7,198,81,112,0,0
410499701005,2,Block Group 5_ Tract 9701,Morrow,1680,755,2,888,1,13,21,1133,606,2,504,1,10,10,395,161,223,0,0
410499701004,2,Block Group 4_ Tract 9701,Morrow,1657,506,6,1049,68,5,23,1097,380,2,647,50,5,13,381,156,215,0,0
