GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote

470010048,3,Fairview Voting District,Anderson,2990,2919,9,11,10,13,28,1137,322,790
470010052,3,Clinch Valley Voting District,Anderson,3095,3033,5,25,9,7,16,1327,356,952
470010112,3,Glen Alpine Voting District,Anderson,1137,1123,3,3,1,0,7,542,163,371
470010080,3,North Clinton Voting District,Anderson,3435,3163,92,70,17,17,76,968,337,614
470010036,3,Clinton Middle School Voting District,Anderson,1987,1822,97,33,4,11,20,656,182,466
470010068,3,Lake City Middle School Voting District,Anderson,3815,3733,12,23,10,8,29,1304,367,923
470010076,3,Norris Voting District,Anderson,1483,1445,3,6,6,5,18,891,406,471
470010008,3,Andersonville Voting District,Anderson,2915,2869,7,21,4,3,11,1313,290,1004
470010024,3,Claxton Voting District,Anderson,7871,7494,126,80,24,20,127,2950,839,2063
470010010,3,Block House Valley Voting District,Anderson,613,600,0,10,2,0,1,330,79,247
470010104,3,South Clinton Voting District,Anderson,2194,2123,8,22,9,6,26,982,260,705
470010028,3,Clinton Voting District,Anderson,4157,3884,93,76,28,7,69,2185,694,1466
470010044,3,Emory Valley Voting District,Anderson,3081,2759,57,67,136,9,53,2003,887,1099
470010114,3,Hendrix Creek Voting District,Anderson,2997,2517,132,69,201,4,74,1635,688,925
470010116,3,Woodland Voting District,Anderson,2560,2032,183,226,66,7,46,895,436,444
470010092,3,Pine Valley Voting District,Anderson,3172,2824,141,96,12,8,91,1625,701,889
470010056,3,Glenwood Voting District,Anderson,3437,2912,252,142,21,10,100,1668,737,901
470010032,3,Clinton High Voting District,Anderson,2079,2001,29,14,13,1,21,1055,313,722
470010012,3,Briceville Voting District,Anderson,1306,1280,10,5,0,2,9,321,120,198
470010040,3,Dutch Valley Voting District,Anderson,2066,1985,7,33,5,6,30,866,224,631
470010084,3,Norwood Voting District,Anderson,2615,2481,44,26,8,5,51,834,249,570
