GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote

48029029 2048,0,029 2048,,4292,403,37,3808,37,0,7,677,499,163
48029029 2040,0,029 2040,,5936,739,320,4792,60,0,25,1184,790,381
48029029 2047,0,029 2047,,2822,492,96,2187,28,0,19,934,643,283
48029029 1113,0,029 1113,,1263,722,77,387,77,0,0,683,362,315
48029029 2052,0,029 2052,,2484,160,9,2284,16,0,15,405,272,125
48029029 3133,0,029 3133,,20,20,0,0,0,0,0,8,3,5
48029029 2025,0,029 2025,,5218,780,100,4273,47,0,18,1161,817,333
48029029 2024,0,029 2024,,4567,437,76,3992,51,0,11,784,558,216
48029029 2094,0,029 2094,,213,172,0,41,0,0,0,131,42,87
48029029 1108,0,029 1108,,4712,2609,467,1352,277,0,7,2443,1211,1219
48029029 2095,0,029 2095,,313,192,6,105,10,0,0,101,68,32
48029029 2083,0,029 2083,,1359,300,6,1027,18,0,8,429,291,132
48029029 2036,0,029 2036,,2201,1323,33,769,74,0,2,995,638,340
48029029 2045,0,029 2045,,3682,715,37,2891,26,0,13,1252,884,354
48029029 2055,0,029 2055,,2544,1922,57,328,235,0,2,751,480,261
48029029 2117,0,029 2117,,285,191,2,83,9,0,0,107,65,41
48029029 4155,0,029 4155,,4800,1052,69,3519,137,0,23,1233,912,295
48029029 4157,0,029 4157,,3966,557,66,3281,51,0,11,775,584,175
48029029 2039,0,029 2039,,3572,487,35,2999,43,0,8,822,614,198
48029029 2120,0,029 2120,,458,359,7,79,13,0,0,267,142,125
48029029 1104,0,029 1104,,2255,690,265,1186,104,0,10,1151,663,482
48029029 2041,0,029 2041,,5130,376,185,4528,25,0,16,1329,922,393
48029029 2049,0,029 2049,,6349,734,303,5195,81,0,36,1290,861,420
48029029 2101,0,029 2101,,0,0,0,0,0,0,0,0,0,0
48029029 2046,0,029 2046,,3713,708,22,2935,36,0,12,1290,869,405
48029029 1072,0,029 1072,,3872,1153,607,1844,238,0,30,913,625,280
48029029 1125,0,029 1125,,3893,1066,468,2146,182,0,31,1686,1053,621
48029029 2118,0,029 2118,,155,101,2,46,5,0,1,83,36,46
48029029 2023,0,029 2023,,5689,696,60,4846,68,0,19,1354,1002,333
48029029 2014,0,029 2014,,2657,235,13,2382,16,0,11,592,416,163
48029029 2013,0,029 2013,,2773,249,20,2463,37,0,4,568,411,148
48029029 2042,0,029 2042,,2169,64,85,2001,5,0,14,642,510,120
48029029 2128,0,029 2128,,5362,223,338,4731,20,0,50,735,594,136
48029029 2005,0,029 2005,,2851,261,24,2542,15,0,9,576,401,165
48029029 1080,0,029 1080,,3155,1130,450,1338,188,0,49,1517,1049,450
48029029 2104,0,029 2104,,641,78,3,551,6,0,3,114,94,19
48029029 4015,0,029 4015,,6020,634,153,5153,64,0,16,1018,746,256
48029029 4017,0,029 4017,,5245,1298,215,3617,96,0,19,948,681,249
48029029 2004,0,029 2004,,6573,157,518,5801,48,0,49,758,609,141
48029029 2021,0,029 2021,,4999,152,20,4796,14,0,17,1053,776,260
48029029 2022,0,029 2022,,3558,100,26,3412,9,0,11,603,458,134
48029029 1087,0,029 1087,,4006,611,391,2903,89,0,12,763,539,221
48029029 2074,0,029 2074,,2763,38,17,2699,1,0,8,388,282,99
48029029 4117,0,029 4117,,824,156,43,599,22,0,4,103,71,32
48029029 2012,0,029 2012,,4986,72,2,4848,44,0,20,727,587,132
48029029 2006,0,029 2006,,5702,136,287,5245,9,0,25,894,739,145
48029029 2034,0,029 2034,,2128,59,41,2008,9,0,11,211,168,40
48029029 4001,0,029 4001,,3790,1173,332,2161,102,0,22,712,464,231
48029029 2003,0,029 2003,,6951,133,43,6717,18,0,40,867,684,168
48029029 2015,0,029 2015,,3997,56,14,3900,9,0,18,633,512,115
48029029 1024,0,029 1024,,5232,1481,661,2788,253,0,49,1573,935,622
