GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH)
53073730046,0,73Nooksack Twp 1 Voting District,,1568,1359,1,159,10,7,32
53073730600,0,73Sumas City Voting District*,,960,801,0,75,38,31,15
53073730047,0,73Nooksack Twp 2 Voting District,,1636,1391,1,164,27,14,39
53073730101,0,73Blaine City 1 Voting District,,1814,1542,17,66,114,17,58
53073USCUST,0,US Customs Border Patrol Voting District,,0,0,0,0,0,0,0
53073730010,0,73Custer 2 Voting District,,1413,1274,8,64,21,13,33
53073730013,0,73Delta 1 Voting District,,1323,1242,3,62,7,2,7
53073730038,0,73Maple Falls 2 Voting District,,462,416,1,15,1,6,23
53073730035,0,73Lynden Twp 1 Voting District*,,1202,1037,6,113,12,4,30
53073730051,0,73Pt Roberts Voting District*,,1308,1229,8,17,27,10,17
53073WVBY42A,0,,,0,0,0,0,0,0,0
53073MTBKER,0,Mt Baker National Forest Voting District,,67,54,1,5,5,1,1
53073730037,0,73Maple Falls 1 Voting District,,2970,2698,7,107,15,57,86
5306565005 ,0,Columbia Voting District,,1158,1059,15,39,3,10,32
5304727    ,0,47Mazama Voting District,,223,217,0,1,5,0,0
5304732    ,0,47Nighthawk Voting District,,71,58,0,3,0,9,1
5306565020 ,0,Rock Cut Voting District,,246,222,5,2,2,4,11
5301919013 ,0,Orient Voting District,,182,178,0,0,0,2,2
5301919005 ,0,Danville Voting District,,285,241,0,4,0,16,24
5305151009 ,0,Metaline Voting District,,206,190,0,2,1,2,11
5301919024 ,0,Toroda Voting District,,500,398,3,35,7,17,40
530475     ,0,47Bodie Voting District,,116,107,0,3,0,4,2
5304710    ,0,47Chesaw Voting District,,155,141,0,9,0,3,2
5304730    ,0,47Molson Voting District,,174,149,1,7,0,9,8
5304718    ,0,47Eastlake Voting District,,480,366,5,92,1,9,7
5304748    ,0,47Westlake Voting District,,527,491,1,16,3,12,4
5304750    ,0,47Winthrop Rural Voting District,,1007,973,0,18,3,6,7
53051WVPENR,0,WV Pend Oreille River Voting District,,0,0,0,0,0,0,0
5305151010 ,0,Metaline Falls Voting District,,414,395,0,6,3,4,6
53073730046A,0,,,0,0,0,0,0,0,0
53073730102,0,73Blaine City 2 Voting District,,821,702,8,55,27,9,20
53073WVBLA ,0,WV Blaine Voting District,,0,0,0,0,0,0,0
53073730011,0,73Custer 3 Voting District,,1695,1537,13,70,26,10,39
53073730101A,0,,,0,0,0,0,0,0,0
53073730103A,0,,,0,0,0,0,0,0,0
53073WVBY42,0,WV Bellingham Bay Leg 42 Voting District,,0,0,0,0,0,0,0
53073730038A,0,,,0,0,0,0,0,0,0
53073WVBY42AA,0,,,0,0,0,0,0,0,0
53073730015,0,73Delta 3 Voting District,,1307,1158,6,95,17,13,18
53073730103,0,73Blaine City 3 Voting District,,1135,986,20,43,41,10,35
53073730053,0,73Semiahmoo 1 Voting District*,,1216,1116,5,42,23,4,26
5304776    ,0,47Oroville 3 Voting District*,,363,299,2,41,0,12,9
5304775    A,0,,,0,0,0,0,0,0,0
53073730504,0,73Lynden City 4 Voting District*,,1139,1049,5,58,11,6,10
53073730505,0,73Lynden City 5 Voting District*,,875,820,4,22,15,3,11
5304740    ,0,47South Oroville Voting District,,1090,859,2,184,2,19,24
53073730507,0,73Lynden City 7 Voting District*,,1382,1285,0,55,14,4,24
53073730508,0,73Lynden City 8 Voting District*,,698,611,1,29,44,1,12
53073730009,0,73Custer 1 Voting District,,1600,1421,11,91,35,13,29
53073730506,0,73Lynden City 6 Voting District*,,1158,1069,3,59,15,4,8
53073730503,0,73Lynden City 3 Voting District,,1462,1322,3,47,57,13,20
53073730014,0,73Delta 2 Voting District,,1627,1288,0,310,4,12,13
53073730509,0,73Lynden City 9 Voting District*,,95,79,0,15,0,1,0
5304775    ,0,47Oroville 2 Voting District*,,464,401,0,30,0,18,15
53073730502,0,73Lynden City 2 Voting District*,,827,675,6,90,37,6,13
53073730501,0,73Lynden City 1 Voting District,,1384,1312,2,52,11,1,6
5304776    A,0,,,0,0,0,0,0,0,0
53073730054,0,73Semiahmoo 2 Voting District*,,1056,1008,10,12,12,2,12
53073730300,0,73Nooksack City Voting District*,,851,755,4,56,14,11,11
53073WVNOOK,0,WV Nooksack River Voting District,,0,0,0,0,0,0,0
53073730036,0,73Lynden Twp 2 Voting District,,946,839,3,87,2,0,15
53073730035A,0,,,0,0,0,0,0,0,0
5304774    ,0,47Oroville 1 Voting District,,826,553,0,211,6,37,19
